id,neighborhood,price,bedrooms,bathrooms,house_size,description
0,"Brooklyn, New York",1000000,4,3,2500,"Luxurious brownstone in the heart of Brooklyn, featuring 4 bedrooms, 3 bathrooms, and a spacious backyard for entertaining."
1,"Santa Monica, California",1500000,5,4,3000,"Modern beachfront home in Santa Monica with 5 bedrooms, 4 bathrooms, and stunning ocean views from every room."
2,"Dubai Marina, UAE",2000000,3,3,2000,"Luxury apartment in Dubai Marina with 3 bedrooms, 3 bathrooms, and access to world-class amenities and stunning views of the city skyline."
3,"Tokyo, Japan",1200000,2,2,1500,"Contemporary penthouse in Tokyo with 2 bedrooms, 2 bathrooms, and a private rooftop terrace overlooking the city."
4,"Paris, France",1800000,4,3,2200,"Charming townhouse in the heart of Paris with 4 bedrooms, 3 bathrooms, and a beautiful courtyard garden."
5,"Cape Town, South Africa",900000,3,2,1800,"Spacious villa in Cape Town with 3 bedrooms, 2 bathrooms, and panoramic views of Table Mountain and the ocean."
6,"Sydney, Australia",1600000,4,3,2800,"Modern waterfront home in Sydney with 4 bedrooms, 3 bathrooms, and a private dock for boating enthusiasts."
7,"Barcelona, Spain",1400000,3,2,2000,"Stylish apartment in Barcelona with 3 bedrooms, 2 bathrooms, and a spacious terrace overlooking the city."
8,"Mumbai, India",800000,2,2,1500,"Elegant bungalow in Mumbai with 2 bedrooms, 2 bathrooms, and a lush garden oasis for relaxation."
9,"Toronto, Canada",1300000,4,3,2400,"Classic Victorian home in Toronto with 4 bedrooms, 3 bathrooms, and a charming backyard for outdoor gatherings."
